Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.134840012,1.06,0.02,0.07,-7.51,0.98,-2.2,36.28,25.9,34.68,RUN
0.135840654,0.94,0.08,0.03,-3.36,-2.69,-0.85,35.88,26.4,33.47,RUN
0.13684082,0.94,0.08,0.09,26.31,-10.44,16.05,36.55,25.76,33.45,RUN
0.13684082,1.12,0,0.17,-6.65,-17.27,-6.53,36.78,23.75,33.96,RUN
0.137840509,0.96,0.02,0.21,-13.12,-19.59,-15.32,36.69,25.12,31.97,RUN
0.137840509,0.96,0.01,0.2,-11.17,-8.85,-6.47,37.33,27.14,30.09,RUN
0.138840437,0.97,0.03,0.2,-4.03,-2.26,0.85,37.33,27.28,29.9,RUN
0.139840603,0.98,0.01,0.24,7.2,-12.76,-0.37,37.55,27.34,29.69,RUN
0.139840603,0.97,0,0.26,-3.72,-5.25,-0.92,37.98,26.54,28.65,RUN
0.140840292,0.96,0.01,0.27,-0.18,0.98,-0.98,37.95,26.81,29.11,RUN
0.141840219,0.97,0,0.24,-2.62,2.08,-1.83,38.13,27.09,29.38,RUN
0.141840219,0.97,0.02,0.24,-5.62,6.84,-0.98,37.48,26.95,29.69,RUN
0.142840385,0.98,0.02,0.22,-3.78,-0.37,-0.37,37.78,27.39,30.14,RUN
0.142840385,0.98,0.02,0.2,-3.23,13.24,0.55,37.22,27.22,30.19,RUN
0.143840075,0.99,0,0.18,-0.12,1.95,-0.85,37.46,27.67,29.61,RUN
0.144840002,0.98,0.01,0.2,-2.62,5.37,-0.37,37.23,27.27,29.77,RUN
0.144840002,0.97,-0.01,0.22,-10.5,10.25,-4.39,37.29,27.27,30.48,RUN
0.145840168,0.94,0,0.19,-18.13,17.15,-4.82,35.83,28.59,30.36,RUN
0.146840334,1.03,0.02,0.2,-16.85,13,-1.89,36.22,29.24,30.73,RUN
0.146840334,0.94,0.05,0.15,-30.52,29.05,-1.04,35.61,30.04,31.57,RUN
0.147844076,1.02,0.08,0.05,-41.87,8.97,-3.42,34.73,30.93,31.54,RUN
0.148844004,1.07,0.03,-0.09,-64.03,26.92,-2.87,34.72,32.98,29.94,RUN
0.148844004,0.93,0,-0.07,-63.6,-6.23,2.14,34.14,34.94,29.85,RUN
0.149844408,0.93,0.01,-0.25,-61.65,-33.08,2.32,34.52,36.8,24.19,RUN
0.149844408,0.96,-0.08,0.05,-36.62,-29.85,-26.67,35.14,38.18,21.94,RUN
0.15099144,1.09,-0.13,0.09,-51.57,-13.37,-35.52,33.95,41.33,19.41,RUN
0.151941538,1.01,-0.19,0.05,-48.4,17.27,-28.75,31.75,43.47,16.06,RUN
0.152940273,1,-0.22,0.03,-57.07,15.26,-7.2,31.26,44.21,13.9,RUN
0.153950691,1.17,-0.11,0.12,-44.62,-5,-2.69,30.49,44.12,11.21,RUN
0.155952454,0.94,-0.09,-0.05,-43.03,-0.12,7.45,29.61,43.32,8.12,RUN
0.156950712,1.05,-0.08,0.05,-11.05,15.5,22.77,31.12,41.16,9.42,RUN
0.157949686,0.96,-0.06,-0.05,11.9,15.44,6.16,31.88,40.98,8.11,RUN
0.158958912,1.01,-0.05,-0.02,10.44,3.91,6.77,32.64,40.7,10.33,RUN
0.159961939,0.99,-0.04,-0.03,4.21,-2.81,4.39,32.85,39.84,10.68,RUN
0.161576748,1.01,-0.02,-0.02,2.44,-2.56,4.94,33.25,39.61,11.67,RUN
0.163309813,0.94,0.01,-0.05,-6.59,1.34,4.27,33.72,39,10.97,RUN
0.164421797,1.12,0.06,-0.04,-26.25,7.75,10.13,33.65,38.1,11.56,RUN
0.165427685,0.95,0.05,-0.01,-49.8,0.43,10.19,34.38,37.23,9.2,RUN
0.166427374,0.95,0.06,-0.05,-69.34,0.43,9.77,34.03,35.03,7.68,RUN
0.167420387,0.97,0.13,-0.15,-75.38,2.26,3.97,35.21,32.95,4.75,RUN
0.168421745,1,0.04,-0.14,-69.64,4.82,-5.98,35.18,30.51,1.16,RUN
0.168421745,1.02,0.05,-0.12,-50.23,1.83,-3.11,35.24,28.52,0.28,RUN
0.169317722,1,-0.03,-0.15,-44.49,-6.53,-7.02,35.49,26.57,-0.09,RUN
0.170419931,0.97,-0.04,-0.12,-33.02,-0.73,-5.86,35.07,25.59,-1.46,RUN
0.170419931,1.04,-0.05,-0.13,-26.79,-8.12,-10.19,35.05,25.13,-2.43,RUN
0.171413898,1.04,-0.07,-0.07,-22.83,-13.98,-9.7,34.41,25.16,-3.32,RUN
0.172332525,1,-0.09,-0.02,-19.9,-8.61,-7.87,33.34,24.29,-4.42,RUN
0.173370361,1,-0.09,0,-9.52,-6.47,2.32,33.75,24.34,-5.29,RUN
0.174316645,1,-0.07,-0.02,-1.59,-6.35,-2.56,33.5,23.85,-5.77,RUN
0.17541337,1,-0.08,-0.01,9.28,-5.37,-2.69,33,24.05,-6.12,RUN
0.17541337,1,-0.11,0,11.41,-1.95,-3.23,32.91,24.32,-6.03,RUN
0.176412106,1,-0.13,0.01,6.59,-1.71,-3.6,32.69,24.87,-6.4,RUN
0.177420378,1,-0.13,0,4.88,-2.26,-4.21,32.71,25.18,-6.34,RUN
0.177420378,0.93,-0.14,0.02,-2.14,1.46,-3.23,32.24,26.05,-5.96,RUN
0.178410769,1.02,-0.14,0.04,-1.77,-1.4,-2.26,32.41,26.21,-6.8,RUN
0.179411411,0.96,-0.13,0.04,-8.73,-26.61,0,30.55,25.56,-7.59,RUN
0.179411411,0.98,-0.13,0.11,-3.78,0.37,-2.5,29.92,25.5,-10.05,RUN
0.180432796,0.99,-0.13,0.14,-3.3,-14.59,0.49,29.92,24.96,-9.31,RUN
0.181411028,0.99,-0.13,0.17,-1.1,-14.16,1.46,28.55,25.48,-11.3,RUN
0.181411028,0.96,-0.12,0.2,-4.52,-26.25,2.99,27.47,25.29,-11.22,RUN
0.182956934,0.97,-0.11,0.25,-3.23,-17.09,4.39,24.69,24.5,-12.51,RUN
0.183417559,0.95,-0.1,0.32,-3.17,-26.31,5.19,22.42,24.72,-14.42,RUN
0.184419155,0.89,-0.08,0.31,2.14,20.51,-0.31,22.42,24.6,-14.66,RUN
0.185414553,0.91,-0.11,0.33,10.8,36.93,-0.85,24.84,24.1,-13.05,RUN
0.186411858,1,-0.12,0.21,6.1,60.49,-1.1,27.95,24.21,-11.08,RUN
0.188416481,0.97,-0.08,0.14,8,56.21,-0.79,30.71,24.07,-7.31,RUN
0.189411879,1.01,-0.06,-0.06,11.6,41.02,6.47,33.37,24.45,-6.32,RUN
0.190413475,1.01,-0.08,-0.09,26.25,8,1.71,34.33,25.51,-3.3,RUN
0.191413641,1.04,-0.07,-0.05,44.01,5,0.49,34.46,26.25,-1.2,RUN
0.193027258,0.96,-0.07,-0.14,42.05,-3.48,6.23,34.3,28.22,0.68,RUN
0.194133043,0.93,-0.1,-0.21,43.76,31.74,7.02,34.69,29.11,1.89,RUN
0.195135117,1.05,-0.09,-0.17,69.95,-2.01,11.84,35.67,30.41,5.53,RUN
0.196045876,1.04,0.05,-0.14,60,5.13,24.41,36.23,30.86,7.59,RUN
